"","executive_order_number","title","publication_date","signing_date","citation","document_number","executive_order_notes","html_url","president","year"
"1",13489,"Presidential Records","01/26/2009","01/21/2009","74 FR 4669"," E9-1712","Revokes: EO 13233, November 1, 2001","https://www.federalregister.gov/articles/2009/01/26/E9-1712/presidential-records","Obama",2009
"2",13490,"Ethics Commitments by Executive Branch Personnel","01/26/2009","01/21/2009","74 FR 4673"," E9-1719","","https://www.federalregister.gov/articles/2009/01/26/E9-1719/ethics-commitments-by-executive-branch-personnel","Obama",2009
"3",13491,"Ensuring Lawful Interrogations","01/27/2009","01/22/2009","74 FR 4893"," E9-1885","See: EO 13567, March 7, 2011;
; ;  Revokes: EO 13440, July 20, 2007","https://www.federalregister.gov/articles/2009/01/27/E9-1885/ensuring-lawful-interrogations","Obama",2009
"4",13492,"Review and Disposition of Individuals Detained At the Guant[aacute]namo Bay Naval Base and Closure of Detention Facilities","01/27/2009","01/22/2009","74 FR 4897"," E9-1893","See: EO 13567, March 7, 2011","https://www.federalregister.gov/articles/2009/01/27/E9-1893/review-and-disposition-of-individuals-detained-at-the-guantaacutenamo-bay-naval-base-and-closure-of","Obama",2009
"5",13493,"Review of Detention Policy Options","01/27/2009","01/22/2009","74 FR 4901"," E9-1895","","https://www.federalregister.gov/articles/2009/01/27/E9-1895/review-of-detention-policy-options","Obama",2009
"6",13494,"Economy in Government Contracting","02/04/2009","01/30/2009","74 FR 6101"," E9-2483","Amended by: EO 13517, October 30, 2009","https://www.federalregister.gov/articles/2009/02/04/E9-2483/economy-in-government-contracting","Obama",2009
"7",13495,"Nondisplacement of Qualified Workers Under Service Contracts","02/04/2009","01/30/2009","74 FR 6103"," E9-2484","Revokes: EO 13204, February 17, 2001","https://www.federalregister.gov/articles/2009/02/04/E9-2484/nondisplacement-of-qualified-workers-under-service-contracts","Obama",2009
"8",13496,"Notification of Employee Rights Under Federal Labor Laws","02/04/2009","01/30/2009","74 FR 6107"," E9-2485","Revokes: EO 13201, February 17, 2001","https://www.federalregister.gov/articles/2009/02/04/E9-2485/notification-of-employee-rights-under-federal-labor-laws","Obama",2009
"9",13497,"Revocation of Certain Executive Orders Concerning Regulatory Planning and Review","02/04/2009","01/30/2009","74 FR 6113"," E9-2486","Revokes: EO 13258, February 26, 2002; EO 13422, January 18, 2007;
; ;  See: EO 12866, September 30, 1993","https://www.federalregister.gov/articles/2009/02/04/E9-2486/revocation-of-certain-executive-orders-concerning-regulatory-planning-and-review","Obama",2009
"10",13498,"Amendments to Executive Order 13199 and Establishment of the President's Advisory Council for Faith-Based and Neighborhood Partnerships","02/09/2009","02/05/2009","74 FR 6533"," E9-2893","Amends: EO 13199, July 29, 2001
; See: EO 13559, November 17, 2010; EO 13569, April 5, 2011; EO 13640, April 5, 2013; EO 13652, September 30, 2013","https://www.federalregister.gov/articles/2009/02/09/E9-2893/amendments-to-executive-order-13199-and-establishment-of-the-presidents-advisory-council-for","Obama",2009
"11",13499,"Further Amendments to Executive Order 12835, Establishment of the National Economic Council","02/11/2009","02/05/2009","74 FR 6979"," E9-3106","Amends: EO 12835, January 25, 1993","https://www.federalregister.gov/articles/2009/02/11/E9-3106/further-amendments-to-executive-order-12835-establishment-of-the-national-economic-council","Obama",2009
"12",13500,"Further Amendments to Executive Order 12859, Establishment of the Domestic Policy Council","02/11/2009","02/05/2009","74 FR 6981"," E9-3108","Amends: EO 12859, August 16, 1993","https://www.federalregister.gov/articles/2009/02/11/E9-3108/further-amendments-to-executive-order-12859-establishment-of-the-domestic-policy-council","Obama",2009
"13",13501,"Establishment of the President's Economic Recovery Advisory Board","02/11/2009","02/06/2009","74 FR 6983"," E9-3112","Revoked by: EO 13564, January 31, 2011","https://www.federalregister.gov/articles/2009/02/11/E9-3112/establishment-of-the-presidents-economic-recovery-advisory-board","Obama",2009
"14",13502,"Use of Project Labor Agreements for Federal Construction Projects","02/11/2009","02/06/2009","74 FR 6985"," E9-3113","Revokes: EO 13202, February 17, 2001; EO 13208, April 6, 2001","https://www.federalregister.gov/articles/2009/02/11/E9-3113/use-of-project-labor-agreements-for-federal-construction-projects","Obama",2009
"15",13503,"Establishment of the White House Office of Urban Affairs","02/24/2009","02/19/2009","74 FR 8139"," E9-4068","","https://www.federalregister.gov/articles/2009/02/24/E9-4068/establishment-of-the-white-house-office-of-urban-affairs","Obama",2009
"16",13504,"Amending Executive Order 13390","02/24/2009","02/20/2009","74 FR 8431"," E9-4103","Amends: EO 13390, November 1, 2005","https://www.federalregister.gov/articles/2009/02/24/E9-4103/amending-executive-order-13390","Obama",2009
"17",13505,"Removing Barriers to Responsible Scientific Research Involving Human Stem Cells","03/11/2009","03/09/2009","74 FR 10667"," E9-5441","Revokes: EO 13435, June 20, 2007","https://www.federalregister.gov/articles/2009/03/11/E9-5441/removing-barriers-to-responsible-scientific-research-involving-human-stem-cells","Obama",2009
"18",13506,"Establishing a White House Council on Women And Girls","03/16/2009","03/11/2009","74 FR 11271"," E9-5802","","https://www.federalregister.gov/articles/2009/03/16/E9-5802/establishing-a-white-house-council-on-women-and-girls","Obama",2009
"19",13507,"Establishment of the White House Office of Health Reform","04/13/2009","04/08/2009","74 FR 17071"," E9-8572","Revoked by: EO 13569, April 5, 2011","https://www.federalregister.gov/articles/2009/04/13/E9-8572/establishment-of-the-white-house-office-of-health-reform","Obama",2009
"20",13508,"Chesapeake Bay Protection and Restoration","05/15/2009","05/12/2009","74 FR 23099"," E9-11547","","https://www.federalregister.gov/articles/2009/05/15/E9-11547/chesapeake-bay-protection-and-restoration","Obama",2009
"21",13509,"Establishing a White House Council on Automotive Communities and Workers","06/26/2009","06/23/2009","74 FR 30903"," E9-15368","Revoked by: EO 13578, July 6, 2011","https://www.federalregister.gov/articles/2009/06/26/E9-15368/establishing-a-white-house-council-on-automotive-communities-and-workers","Obama",2009
"22",13510,"Waiver Under the Trade Act of 1974 With Respect to the Republic of Belarus","07/06/2009","07/01/2009","74 FR 32047"," E9-16034","","https://www.federalregister.gov/articles/2009/07/06/E9-16034/waiver-under-the-trade-act-of-1974-with-respect-to-the-republic-of-belarus","Obama",2009
"23",13511,"Continuance of Certain Federal Advisory Committees","10/01/2009","09/29/2009","74 FR 50909"," E9-23886","Continues: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, June 28, 1966; EO 12131, May 4, 1979; EO 12196, February 26, 1980; EO 12216, June 18, 1980; EO 12367, February 15, 1982; EO 12382, September 13, 1982; EO 12905, March 25, 1994; EO 12994, March 21, 1996; EO 13226, September 30, 2001; EO 13231, October 16, 2001; EO 13256, February 12, 2002; EO 13265, June 6, 2002; EO 13270, July 3, 2002; ;
; ;  Supersedes in part: EO 13446, September 28, 2007;
; ;  Superseded by: EO 13585, September 30, 2011","https://www.federalregister.gov/articles/2009/10/01/E9-23886/continuance-of-certain-federal-advisory-committees","Obama",2009
"24",13512,"Amending Executive Order 13390","10/02/2009","09/29/2009","74 FR 50911"," E9-23915","Amends: EO 13390, November 1, 2005","https://www.federalregister.gov/articles/2009/10/02/E9-23915/amending-executive-order-13390","Obama",2009
"25",13513,"Federal Leadership On Reducing Text Messaging While Driving","10/06/2009","10/01/2009","74 FR 51225"," E9-24203","","https://www.federalregister.gov/articles/2009/10/06/E9-24203/federal-leadership-on-reducing-text-messaging-while-driving","Obama",2009
"26",13514,"Federal Leadership in Environmental, Energy, and Economic Performance","10/08/2009","10/05/2009","74 FR 52117"," E9-24518","See: EO 13423, January 24, 2007; EO 13677, September 23, 2014","https://www.federalregister.gov/articles/2009/10/08/E9-24518/federal-leadership-in-environmental-energy-and-economic-performance","Obama",2009
"27",13515,"Increasing Participation of Asian Americans and Pacific Islanders in Federal Programs","10/19/2009","10/14/2009","74 FR 53635"," E9-25268","Supersedes: EO 13125, June 7, 1999; EO 13339, May 13, 2004
; Amended by: EO 13585, September 30, 2011; EO 13652, September 30, 2013
; Continued by: EO 13652, September 30, 2013","https://www.federalregister.gov/articles/2009/10/19/E9-25268/increasing-participation-of-asian-americans-and-pacific-islanders-in-federal-programs","Obama",2009
"28",13516,"Amending Executive Order 13462","11/02/2009","10/28/2009","74 FR 56521"," E9-26408","Federal Register correction page and date: 74 FR 57241, November 5, 2009","https://www.federalregister.gov/articles/2009/11/02/E9-26408/amending-executive-order-13462","Obama",2009
"29",13516,"Correction","11/05/2009","","74 FR 57241"," Z9-26408","","https://www.federalregister.gov/articles/2009/11/05/Z9-26408/correction","Obama",NA
"30",13517,"Amendments to Executive Orders 13183 and 13494","11/05/2009","10/30/2009","74 FR 57239"," E9-26834","Amends: EO 13183, December 23, 2000; EO 13494, January 30, 2009","https://www.federalregister.gov/articles/2009/11/05/E9-26834/amendments-to-executive-orders-13183-and-13494","Obama",2009
"31",13518,"Employment of Veterans in the Federal Government","11/13/2009","11/09/2009","74 FR 58533"," E9-27441","See: EO 13583, August 18, 2011","https://www.federalregister.gov/articles/2009/11/13/E9-27441/employment-of-veterans-in-the-federal-government","Obama",2009
"32",13519,"Establishment of the Financial Fraud Enforcement Task Force","11/19/2009","11/17/2009","74 FR 60123"," E9-28022","Terminates: EO 13271, July 9, 2002","https://www.federalregister.gov/articles/2009/11/19/E9-28022/establishment-of-the-financial-fraud-enforcement-task-force","Obama",2009
"33",13520,"Reducing Improper Payments","11/25/2009","11/20/2009","74 FR 62201"," E9-28493","","https://www.federalregister.gov/articles/2009/11/25/E9-28493/reducing-improper-payments","Obama",2009
"34",13521,"Establishing the Presidential Commission for the Study of Bioethical Issues","11/30/2009","11/24/2009","74 FR 62671"," E9-28805","Continued by: EO 13652, September 30, 2013
; See: EO 13591, November 23, 2011;
; ;  Supersedes: EO 13237, November 28, 2001","https://www.federalregister.gov/articles/2009/11/30/E9-28805/establishing-the-presidential-commission-for-the-study-of-bioethical-issues","Obama",2009
"35",13522,"Creating Labor-Management Forums to Improve Delivery of Government Services","12/14/2009","12/09/2009","74 FR 66203"," E9-29781","Continued by: EO 13652, September 30, 2013
; See: EO 13591, November 23, 2011","https://www.federalregister.gov/articles/2009/12/14/E9-29781/creating-labor-management-forums-to-improve-delivery-of-government-services","Obama",2009
"36",13523,"Correction","12/18/2009","","74 FR 67049"," Z9-30020","","https://www.federalregister.gov/articles/2009/12/18/Z9-30020/correction","Obama",NA
